id,name,host_id,host_name,neighbourhood,longitude,latitude,property_type,room_type,beds,accommodates,price,availability,minimum_night,maximum_night,no_of_reviews,rating,host_listings_counts
10006546,Ribeira Charming Duplex,51399391,Ana&Gonçalo,,-8.61308,41.1413,House,Entire home/apt,5,8,80,239,2,30,51,89,3
1001265,Ocean View Waikiki Marina w/prkg,5448114,David,Waikiki,-157.83919,21.28634,Condominium,Entire home/apt,1,2,115,343,3,365,96,84,18
10021707,Private Room in Bushwick,11275734,Josh,Bushwick,-73.93615,40.69791,Apartment,Private room,1,1,40,0,14,1125,1,100,1
1003530,New York City - Upper West Side Apt,454250,Greta,Bushwick,-73.96523,40.79962,Apartment,Private room,1,2,135,93,12,360,70,94,3
10038496,Copacabana Apartment Posto 6,51530266,Ana Valéria,Copacabana,-43.19084919,-22.98433936,Apartment,Entire home/apt,3,4,119,118,3,75,70,98,2
10047964,Charming Flat in Downtown Moda,1241644,Zeynep,Moda,29.03133,40.98585,House,Entire home/apt,6,6,527,362,2,1125,1,100,2
10051164,Catete's Colonial Big Hause Room B,51326285,Beatriz,Catete,-43.18015675,-22.92638235,House,Private room,8,8,250,296,2,1125,1,80,5
10057826,Deluxe Loft Suite,47554473,Mae,Greenpoint,-73.94472,40.72778,Apartment,Entire home/apt,2,4,205,243,3,1125,5,88,13
10059872,"Soho Cozy, Spacious and Convenient",51624384,Giovanni,Soho,114.15027,22.28158,Apartment,Entire home/apt,2,3,699,0,4,20,3,100,1
10083468,Be Happy in Porto,27518920,Fábio,Soho,-8.61123,41.15225,Loft,Entire home/apt,1,2,30,335,2,1125,178,97,3
10084023,City center private room with bed,51744313,Yi,Shek Kip Mei,114.1669,22.3314,Guesthouse,Private room,1,1,181,220,1,500,81,92,2
10091713,Surry Hills Studio - Your Perfect Base in Sydney,13764143,Ben,Surry Hills,151.21554,-33.88029,Apartment,Entire home/apt,1,2,181,0,10,21,64,95,1
10092679,Cozy house at Beyoğlu,21331922,Ali,Taksim,28.95825,41.03777,Apartment,Private room,1,2,58,37,2,1125,27,99,8
10096773,Easy 1 Bedroom in Chelsea,34607505,Scott,Chelsea,-74.00074,40.74577,Apartment,Entire home/apt,1,2,145,0,2,1125,1,100,1
10108388,Sydney Hyde Park City Apartment (checkin from 6am),16187044,Desireé,Darlinghurst,151.21346,-33.87603,Apartment,Entire home/apt,1,2,185,265,2,30,109,100,1
