,id,name,host_id,host_name,neighbourhood,longitude,latitude,property_type,room_type,beds,accommodates,price,availability,minimum_night,maximum_night,no_of_reviews,rating,host_listings_counts
0,10006546,Ribeira Charming Duplex,51399391,Ana&Gonçalo,,-8.61308,41.1413,House,Entire home/apt,5,8,80.00,239,2,30,51,89,3
1,10006546,Ribeira Charming Duplex,51399391,Ana&Gonçalo,,-8.61308,41.1413,House,Entire home/apt,5,8,80.00,239,2,30,51,89,3
2,1001265,Ocean View Waikiki Marina w/prkg,5448114,David,Waikiki,-157.83919,21.28634,Condominium,Entire home/apt,1,2,115.00,343,3,365,96,84,18
3,10021707,Private Room in Bushwick,11275734,Josh,Bushwick,-73.93615,40.69791,Apartment,Private room,1,1,40.00,0,14,1125,1,100,1
4,10021707,Private Room in Bushwick,11275734,Josh,Bushwick,-73.93615,40.69791,Apartment,Private room,1,1,40.00,0,14,1125,1,100,1
5,1003530,New York City - Upper West Side Apt,454250,Greta,,-73.96523,40.79962,Apartment,Private room,1,2,135.00,93,12,360,70,94,3
6,10038496,Copacabana Apartment Posto 6,51530266,Ana Valéria,Copacabana,-43.190849194463404,-22.984339360067814,Apartment,Entire home/apt,3,4,119.00,118,3,75,70,98,2
7,10047964,Charming Flat in Downtown Moda,1241644,Zeynep,Moda,29.03133,40.98585,House,Entire home/apt,6,6,527.00,362,2,1125,1,100,2
8,10051164,Catete's Colonial Big Hause Room B,51326285,Beatriz,Catete,-43.18015675229857,-22.92638234778768,House,Private room,8,8,250.00,296,2,1125,1,80,5
9,10051164,Catete's Colonial Big Hause Room B,51326285,Beatriz,Catete,-43.18015675229857,-22.92638234778768,House,Private room,8,8,250.00,296,2,1125,1,80,5
10,10057826,Deluxe Loft Suite,47554473,Mae,Greenpoint,-73.94472,40.72778,Apartment,Entire home/apt,2,4,205.00,243,3,1125,5,88,13
11,10057826,Deluxe Loft Suite,47554473,Mae,Greenpoint,-73.94472,40.72778,Apartment,Entire home/apt,2,4,205.00,243,3,1125,5,88,13
12,10059872,"Soho Cozy, Spacious and Convenient",51624384,Giovanni,Soho,114.15027,22.28158,Apartment,Entire home/apt,2,3,699.00,0,4,20,3,100,1
13,10059872,"Soho Cozy, Spacious and Convenient",51624384,Giovanni,Soho,114.15027,22.28158,Apartment,Entire home/apt,2,3,699.00,0,4,20,3,100,1
14,10059872,"Soho Cozy, Spacious and Convenient",51624384,Giovanni,Soho,114.15027,22.28158,Apartment,Entire home/apt,2,3,699.00,0,4,20,3,100,1
15,10059872,"Soho Cozy, Spacious and Convenient",51624384,Giovanni,Soho,114.15027,22.28158,Apartment,Entire home/apt,2,3,699.00,0,4,20,3,100,1
